codi_estacio,nom_estacio,codi_tipus,latitud,longitud,geocoded_column.type,geocoded_column.coordinates,emplacament,altitud,codi_municipi,nom_municipi,codi_comarca,nom_comarca,codi_provincia,nom_provincia,codi_xarxa,nom_xarxa,codi_estat_ema,nom_estat_ema,data_inici,:@computed_region_bh64_c7uy,:@computed_region_wvic_k925,data_fi,
DJ,Banyoles,A,42.11653,2.78969,Point,c(2.78969, 42.11653),Abocador comarcal de Puigpalter,176,170157,Banyoles,28,Pla de l'Estany,17,Girona,1,XEMA,2,Operativa,1999-10-11T00:00:00,57,11,NA
CZ,Ulldemolins - Zona Esportiva,A,41.3191,0.87868,Point,c(0.87868, 41.3191),Poliesportiu municipal,631,431573,Ulldemolins,29,Priorat,43,Tarragona,1,XEMA,1,Desmantellada,1996-03-04T00:00:00,668,35,2008-04-15T00:00:00
VD,el Canós,A,41.68939,1.20381,Point,c(1.20381, 41.68939),Camí de la Figuerosa,429,259118,Els Plans de Sió,32,Segarra,25,Lleida,1,XEMA,2,Operativa,1988-10-22T00:00:00,780,19,NA
ZB,Salòria (2.451 m),A,42.51939,1.36597,Point,c(1.36597, 42.51939),Salòria,2451,250175,Alins,26,Pallars Sobirà,25,Lleida,1,XEMA,2,Operativa,2004-09-30T00:00:00,317,2,NA
XR,Prades,A,41.31481,0.98161,Point,c(0.98161, 41.31481),La Comanda,926,431166,Prades,8,Baix Camp,43,Tarragona,1,XEMA,2,Operativa,2013-01-31T00:00:00,492,39,NA
CF,Lloret de Mar,A,41.72346,2.84282,Point,c(2.84282, 41.72346),Abocador municipal,63.3,170950,Lloret de Mar,34,Selva,17,Girona,1,XEMA,1,Desmantellada,1996-02-05T00:00:00,751,20,2003-06-16T00:00:00
VA,Ascó,A,41.1964,0.51101,Point,c(0.51101, 41.1964),Camí de la Serra de les Moncas,257,430192,Ascó,30,Ribera d'Ebre,43,Tarragona,1,XEMA,2,Operativa,1998-06-15T00:00:00,462,36,NA
U5,Prades - los Hortals,A,41.31349,0.99611,Point,c(0.99611, 41.31349),Finca los Hortals,969,431166,Prades,8,Baix Camp,43,Tarragona,1,XEMA,1,Desmantellada,1995-12-12T00:00:00,492,39,2013-01-31T00:00:00
YE,Massoteres,A,41.79409,1.305756,Point,c(1.305756, 41.79409),la Creu de Massoteres,513,251327,Massoteres,32,Segarra,25,Lleida,1,XEMA,2,Operativa,2017-05-17T00:00:00,688,19,NA
MR,Pantà de Siurana,A,41.25079,0.9106,Point,c(0.9106, 41.25079),Pantà de Siurana - Xalet del Pantà,500,430496,Cornudella de Montsant,29,Priorat,43,Tarragona,1,XEMA,2,Operativa,2010-11-08T00:00:00,508,35,NA
V8,el Poal,A,41.67279,0.87741,Point,c(0.87741, 41.67279),"Finca el Molinet, c. Afores, s/n",223,251689,El Poal,27,Pla d'Urgell,25,Lleida,1,XEMA,2,Operativa,1989-09-14T00:00:00,731,23,NA
V9,Miralcamp,A,41.61333,0.87608,Point,c(0.87608, 41.61333),Partida la Boletera,256,251351,Miralcamp,27,Pla d'Urgell,25,Lleida,1,XEMA,1,Desmantellada,1997-09-26T00:00:00,545,23,2010-02-01T00:00:00
CA,Clariana de Cardener,A,41.95378,1.5851,Point,c(1.5851, 41.95378),Abocador comarcal,693,250753,Clariana de Cardener,35,Solsonès,25,Lleida,1,XEMA,1,Desmantellada,1996-05-02T00:00:00,16,12,2012-07-10T00:00:00
XN,Seròs,A,41.46379,0.42765,Point,c(0.42765, 41.46379),EDAR Aitona-Seròs,89,252043,Seròs,33,Segrià,25,Lleida,1,XEMA,2,Operativa,2011-12-15T00:00:00,566,21,NA
WS,Viladrau,A,41.84008,2.41877,Point,c(2.41877, 41.84008),Mas Vilarmau,953,172207,Viladrau,24,Osona,17,Girona,1,XEMA,2,Operativa,2005-03-17T00:00:00,652,13,NA
CC,Orís,A,42.07398,2.20862,Point,c(2.20862, 42.07398),Abocador comarcal,626,81509,Orís,24,Osona,8,Barcelona,1,XEMA,2,Operativa,1995-11-15T00:00:00,100,13,NA
DK,Torredembarra,A,41.14677,1.41846,Point,c(1.41846, 41.14677),Aiguamolls els Muntanyans,2,431536,Torredembarra,36,Tarragonès,43,Tarragona,1,XEMA,2,Operativa,1999-11-24T00:00:00,519,37,NA
UM,la Granadella,A,41.35991,0.66789,Point,c(0.66789, 41.35991),Horts de la Vall Major,505,251018,La Granadella,18,Garrigues,25,Lleida,1,XEMA,2,Operativa,1992-01-30T00:00:00,782,27,NA
Z2,Boí (2.535 m),A,42.46602,0.88405,Point,c(0.88405, 42.46602),Vall de Boí,2535,250432,La Vall de Boí,5,Alta Ribagorça,25,Lleida,1,XEMA,2,Operativa,1998-11-13T00:00:00,321,3,NA
U7,Aldover,A,40.85936,0.50525,Point,c(0.50525, 40.85936),Granges de Fabra,52,430069,Aldover,9,Baix Ebre,43,Tarragona,1,XEMA,2,Operativa,1994-12-31T00:00:00,209,40,NA
Y4,Alinyà,A,42.17426,1.42775,Point,c(1.42775, 42.17426),Tossal de Salamó,1162,259084,Fígols i Alinyà,4,Alt Urgell,25,Lleida,1,XEMA,2,Operativa,2014-07-01T00:00:00,269,5,NA
