codi_estacio,nom_estacio,codi_tipus,latitud,longitud,geocoded_column.type,geocoded_column.coordinates,emplacament,altitud,codi_municipi,nom_municipi,codi_comarca,nom_comarca,codi_provincia,nom_provincia,codi_xarxa,nom_xarxa,codi_estat_ema,nom_estat_ema,data_inici,:@computed_region_bh64_c7uy,:@computed_region_wvic_k925,data_fi,
ZD,la Tosa d'Alp (2.478 m),A,42.32211,1.89716,Point,c(1.89716, 42.32211),Tosa d'Alp,2478,170062,Alp,15,Cerdanya,17,Girona,1,XEMA,2,Operativa,2014-09-04T00:00:00,251,8,NA
VE,Aitona,A,41.48692,0.46058,Point,c(0.46058, 41.48692),Camí del canal de Seròs,97,250387,Aitona,33,Segrià,25,Lleida,1,XEMA,1,Desmantellada,1998-03-12T00:00:00,696,21,2022-04-12T00:00:00
UW,els Alfacs,A,40.62725,0.65922,Point,c(0.65922, 40.62725),"IRTA Centre d'Aqüicultura, crta. Poble Nou del Delta, km 5,5",0,431362,La Ràpita,22,Montsià,43,Tarragona,1,XEMA,2,Operativa,1994-07-06T00:00:00,229,41,NA
VI,Lleida,A,41.62918,0.59622,Point,c(0.59622, 41.62918),Av. Alcalde Rovira Roure,190,251207,Lleida,33,Segrià,25,Lleida,1,XEMA,1,Desmantellada,1990-03-30T00:00:00,875,21,2000-06-15T00:00:00
C9,Mas de Barberans,A,40.71825,0.39988,Point,c(0.39988, 40.71825),Abocador comarcal,240,430770,Mas de Barberans,22,Montsià,43,Tarragona,1,XEMA,2,Operativa,1997-04-11T00:00:00,219,41,NA
R1,el Pont de Vilomara,A,41.70637,1.87276,Point,c(1.87276, 41.70637),Planta de reciclatge de piles i fluorescents,210,81825,El Pont de Vilomara i Rocafort,7,Bages,8,Barcelona,1,XEMA,1,Desmantellada,2000-03-02T00:00:00,613,18,2019-11-01T00:00:00
U2,Sant Pere Pescador,A,42.17716,3.0968,Point,c(3.0968, 42.17716),"Mas Blanc, Mas Fages 17",4,171788,Sant Pere Pescador,2,Alt Empordà,17,Girona,1,XEMA,2,Operativa,1989-05-01T00:00:00,278,6,NA
VZ,Espolla,A,42.38443,3.00736,Point,c(3.00736, 42.38443),"Llaurants. Ref. Cadastral: Pol. 5, parc.195",83,170643,Espolla,2,Alt Empordà,17,Girona,1,XEMA,2,Operativa,2000-06-07T00:00:00,346,6,NA
WC,Golmés,A,41.63642,0.92446,Point,c(0.92446, 41.63642),Partida Fogones,261,250997,Golmés,27,Pla d'Urgell,25,Lleida,1,XEMA,2,Operativa,2000-08-08T00:00:00,798,23,NA
CK,Santa Coloma de Farners,A,41.86472,2.66451,Point,c(2.66451, 41.86472),Dipòsit d'aigua,163,171805,Santa Coloma de Farners,34,Selva,17,Girona,1,XEMA,1,Desmantellada,1996-02-05T00:00:00,634,20,2004-06-08T00:00:00
WA,Oliola,A,41.87694,1.1541,Point,c(1.1541, 41.87694),Partida l'Era,443,251500,Oliola,23,Noguera,25,Lleida,1,XEMA,2,Operativa,2001-03-26T00:00:00,913,15,NA
YC,la Pobla de Segur,A,42.24388,0.96802,Point,c(0.96802, 42.24388),Horta de les Feixes,508,251713,La Pobla de Segur,25,Pallars Jussà,25,Lleida,1,XEMA,2,Operativa,2016-11-18T00:00:00,249,9,NA
YG,Tírvia,A,42.51881,1.24244,Point,c(1.24244, 42.51881),Heliport de Tírvia,954,252213,Tírvia,26,Pallars Sobirà,25,Lleida,1,XEMA,2,Operativa,2018-01-11T00:00:00,335,2,NA
WB,Albesa,A,41.76036,0.67022,Point,c(0.67022, 41.76036),"Partida l'Eral, camí del Torricó",267,250083,Albesa,23,Noguera,25,Lleida,1,XEMA,2,Operativa,1999-06-21T00:00:00,768,15,NA
YO,Sant Sadurní d'Anoia,A,41.43531,1.79324,Point,c(1.79324, 41.43531),Camp de civada entre vinyes,155,82401,Sant Sadurní d'Anoia,3,Alt Penedès,8,Barcelona,1,XEMA,2,Operativa,2021-05-07T00:00:00,918,32,NA
AN,Barcelona - Av. Lluís Companys,A,41.39004,2.18091,Point,c(2.18091, 41.39004),Av. Lluís Companys (Ciutadella),7.5,80193,Barcelona,13,Barcelonès,8,Barcelona,1,XEMA,1,Desmantellada,1992-05-11T00:00:00,512,29,2002-10-29T00:00:00
VK,Raimat,A,41.68328,0.4487,Point,c(0.4487, 41.68328),Finca Montserrat - Raimat,286,251207,Lleida,33,Segrià,25,Lleida,1,XEMA,2,Operativa,1988-08-31T00:00:00,875,21,NA
VH,Gimenells,A,41.65814,0.39301,Point,c(0.39301, 41.65814),IRTA - Estació de Gimenells,259,259123,Gimenells i el Pla de la Font,33,Segrià,25,Lleida,1,XEMA,2,Operativa,1996-12-10T00:00:00,553,21,NA
W8,Blancafort,A,41.44237,1.15998,Point,c(1.15998, 41.44237),"Cooperativa vinícola, pl.del Sindicat",438,430290,Blancafort,16,Conca de Barberà,43,Tarragona,1,XEMA,2,Operativa,2000-01-18T00:00:00,581,28,NA
UC,Monells,A,41.97726,2.99705,Point,c(2.99705, 41.97726),Finca Camps i Armet - Escola Capacitació Agrària,60,179011,"Cruïlles, Monells i Sant Sadurní de l'Heura",10,Baix Empordà,17,Girona,1,XEMA,1,Desmantellada,1998-03-04T00:00:00,29,16,2021-06-15T00:00:00
DC,Olot - Pla de Baix,A,42.19144,2.48263,Point,c(2.48263, 42.19144),Heliport Mossos d'Esquadra,421.5,171143,Olot,19,Garrotxa,17,Girona,1,XEMA,1,Desmantellada,1998-04-24T00:00:00,294,10,2016-07-21T00:00:00
UL,Castelldans,A,41.52911,0.75303,Point,c(0.75303, 41.52911),"Mas de St. Jaume, crta. de Castelldans a Puigvert",228,250674,Castelldans,18,Garrigues,25,Lleida,1,XEMA,1,Desmantellada,1997-09-16T00:00:00,692,27,2017-02-21T00:00:00
UT,Port de les Cases d'Alcanar,A,40.55219,0.53252,Point,c(0.53252, 40.55219),Port de les Cases d'Alcanar,3,430043,Alcanar,22,Montsià,43,Tarragona,1,XEMA,1,Desmantellada,1993-08-31T00:00:00,228,41,2001-11-11T00:00:00
UF,PN del Garraf - el Rascler,A,41.28832,1.90775,Point,c(1.90775, 41.28832),El Rascler - Centre de Repetidors Aeroport. Parc Natural del Garraf,573,80207,Begues,11,Baix Llobregat,8,Barcelona,1,XEMA,2,Operativa,1996-02-29T00:00:00,491,31,NA
V5,Perafita,A,42.03947,2.11993,Point,c(2.11993, 42.03947),Finca la Tria,774,81607,Perafita,43,Lluçanès,8,Barcelona,1,XEMA,2,Operativa,1995-07-03T00:00:00,145,13,NA
YL,Riudecanyes,A,41.1227,0.96951,Point,c(0.96951, 41.1227),els Gorgs,170,431270,Riudecanyes,8,Baix Camp,43,Tarragona,1,XEMA,2,Operativa,2019-02-06T00:00:00,942,39,NA
C8,Cervera,A,41.67555,1.29609,Point,c(1.29609, 41.67555),Abocador comarcal,554,250729,Cervera,32,Segarra,25,Lleida,1,XEMA,2,Operativa,1995-10-27T00:00:00,900,19,NA
VC,Pantà de Riba-roja,A,41.24415,0.43266,Point,c(0.43266, 41.24415),Presa de Riba-roja,69,431251,Riba-roja d'Ebre,30,Ribera d'Ebre,43,Tarragona,1,XEMA,2,Operativa,1996-11-18T00:00:00,497,36,NA
